ecg (ms)	filtered ecg (ms2)
-0.042422	0.000267
-0.0363181	0.0002485
-0.0277727	0.0002312
-0.0186169	0.0002149
-0.0122078	0.0001996
-0.0061039	0.0001854
-0.0009156	0.0001721
0.0018312	0.0001598
0.0051883	0.0001484
0.0042727	0.0001378
0.0030519	0.0001281
0.0036623	0.0001192
0.0057987	0.000111
0.0051883	0.0001034
0.0064091	0.0000965
0.0122078	0.0000901
0.0170909	0.0000842
0.0238052	0.0000787
0.0317402	0.0000736
0.0366233	0.0000688
0.0427272	0.0000643
0.0460844	0.00006
0.0497467	0.000056
0.0515779	0.0000523
0.0512727	0.0000487
0.0552402	0.0000454
0.0585973	0.0000423
0.0640908	0.0000394
0.0683635	0.0000367
0.0732467	0.0000342
0.0750778	0.0000318
0.0759934	0.0000297
0.0732467	0.0000277
0.0735519	0.0000258
0.0714155	0.0000241
0.0720259	0.0000226
0.0714155	0.0000212
0.0750778	0.0000199
0.0766038	0.0000188
0.0802661	0.0000177
0.0820973	0.0000168
0.0851492	0.0000159
0.0814869	0.0000152
0.0808765	0.0000145
0.0750778	0.0000139
0.0708051	0.0000133
0.0616493	0.0000127
0.0582921	0.0000121
0.0500519	0.0000114
0.0485259	0.0000108
0.0442532	0.0000101
0.0473051	0.0000095
0.0473051	0.0000089
0.0482207	0.0000083
0.0460844	0.0000079
0.0521882	0.0000074
0.0543246	0.000007
0.0589025	0.0000066
0.0604285	0.0000062
0.0637856	0.0000059
0.0631752	0.0000055
0.0640908	0.0000052
0.0610389	0.000005
0.0595129	0.0000047
0.0537142	0.0000045
0.0524934	0.0000043
0.0479155	0.0000041
0.0500519	0.000004
0.0491363	0.0000038
0.0515779	0.0000037
0.0531038	0.0000036
0.0570714	0.0000036
0.0570714	0.0000035
0.0585973	0.0000035
0.0573765	0.0000034
0.0576817	0.0000034
0.0552402	0.0000035
0.0558506	0.0000035
0.0512727	0.0000036
0.0521882	0.0000037
0.0524934	0.0000038
0.0561558	0.0000039
0.0579869	0.0000041
0.0653116	0.0000042
0.0647012	0.0000044
0.0677532	0.0000046
0.067448	0.0000048
0.0650064	0.000005
0.0595129	0.0000053
0.0546298	0.0000055
0.0473051	0.0000056
0.0412012	0.0000057
0.0354026	0.0000057
0.0305194	0.0000056
0.0265519	0.0000054
0.0250259	0.0000052
0.0253311	0.0000049
0.0244156	0.0000047
0.0241104	0.0000045
0.0238052	0.0000043
0.0250259	0.0000042
0.0259415	0.000004
0.0286883	0.0000039
0.0302142	0.0000038
0.0326558	0.0000038
0.0332662	0.0000037
0.0323506	0.0000037
0.0305194	0.0000037
0.0268571	0.0000037
0.020448	0.0000037
0.0170909	0.0000036
0.010987	0.0000035
0.0076299	0.0000034
0.0042727	0.0000033
0.0045779	0.0000032
0.0048831	0.0000031
0.0112922	0.0000031
0.0137337	0.000003
0.021974	0.000003
0.0216688	0.0000029
0.0271623	0.0000029
0.0225844	0.0000028
0.0207532	0.0000028
0.0149545	0.0000028
0.0137337	0.0000028
0.0079351	0.0000028
0.0070195	0.0000028
